Time;Xpos;Ypos;Zpos;Roll;Pitch;Yaw
J0:19:15:00:073;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:00:466;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:00:866;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:01:266;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:01:659;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:02:045;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:02:445;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:02:838;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:03:232;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:03:631;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:04:025;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:04:424;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:04:818;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:05:217;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:05:611;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:06:010;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:06:404;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:06:803;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:07:203;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:07:603;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:08:003;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:08:409;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:08:802;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:09:202;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:09:602;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:10:001;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:10:408;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:10:801;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:11:201;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:11:601;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:12:000;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:12:407;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:12:793;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:13:193;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:13:593;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:13:993;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:14:032;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:14:432;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:14:838;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:15:225;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:15:618;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:16:018;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:16:404;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:16:804;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:17:204;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:17:604;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:17:997;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:18:390;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:18:790;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:19:190;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:19:583;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:19:983;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:20:382;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:20:782;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:21:182;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:21:575;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:21:981;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:22:375;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:22:774;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:23:174;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:23:567;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:23:961;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:24:360;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:24:760;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:25:153;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:25:553;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:25:946;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:26:346;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:26:739;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:27:139;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:27:532;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:27:932;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:28:338;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:28:725;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:29:125;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:29:518;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:29:911;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:30:311;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:30:711;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:31:111;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:31:510;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:31:904;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:32:303;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:32:697;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:33:096;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:33:483;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:33:883;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:34:283;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:34:309;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:34:709;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:34:748;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:35:148;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:35:187;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:35:587;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:35:986;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:36:380;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:36:779;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:37:179;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:37:579;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:37:979;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:38:372;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:38:772;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:39:172;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:39:571;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:39:971;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:40:364;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:40:764;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:41:164;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:41:570;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:41:963;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:42:357;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:42:756;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:43:156;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:43:556;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:43:956;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:44:362;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:44:755;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:45:155;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:45:555;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:45:955;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:46:354;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:46:748;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:47:147;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:47:547;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:47:947;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:48:340;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:48:740;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:49:146;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:49:546;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:49:946;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:50:345;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:50:739;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:51:145;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:51:545;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:51:945;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:52:344;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:52:744;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:53:137;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:53:537;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:53:943;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:54:337;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:54:736;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:55:130;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:55:529;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:55:936;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
J0:19:15:56:335;44736.0;-76646.0;-53649.0;0.0;0.0;-179.999954
